asset_id,asset_type,worth
796,car,73378
797,car,59424
798,car,76318
799,car,83549
800,car,45655
801,house,637902
802,car,84679
803,car,21005
804,car,40795
805,car,22441
806,car,92852
807,car,45758
808,car,23394
809,car,22343
810,car,61418
811,car,48770
812,car,80065
813,house,1140145
814,car,89409
815,car,73020
816,car,59109
817,car,41812
818,car,48280
819,car,16724
820,car,25604
821,house,1144274
822,house,988084
823,house,160793
824,car,86494
825,car,12356
826,house,1309446
827,car,52755
828,car,42963
829,car,36865
830,car,50992
831,car,61216
832,car,91854
833,car,97624
834,car,14503
835,car,71706
836,car,84467
837,car,31798
838,car,85584
839,car,34891
840,car,60484
841,car,29415
842,car,48899
843,car,94360
844,car,78258
845,house,225154
846,car,26223
847,car,73224
848,car,67863
849,car,88702
850,car,12728
851,house,1087798
852,car,46525
853,car,73547
854,car,56187
855,car,65836
856,car,81969
857,car,38746
858,car,24121
859,car,28919
860,house,1018457
861,car,54881
862,car,16851
863,car,78264
864,car,46548
865,car,13050
866,car,27940
867,car,10155
868,car,17811
869,car,49075
870,car,45160
871,car,12485
872,car,27384
873,car,34083
874,car,92228
875,car,42120
876,car,80326
877,house,1114503
878,car,23837
879,car,13306
880,car,68519
881,house,275831
882,car,94032
883,car,30600
884,house,1486424
885,car,16910
886,car,95957
887,car,89370
888,car,52414
889,car,28633
890,car,48343
891,car,17187
892,car,25646
893,car,26085
894,car,68629
895,car,76595
896,car,71620
897,car,26417
898,car,75984
899,car,56945
900,car,19905
901,car,41754
902,car,16234
903,car,32967
904,house,861394
905,house,757657
906,car,43488
907,house,189949
908,car,30713
909,car,99328
910,house,1315075
911,car,91440
912,car,44051
913,car,70474
914,car,49506
915,car,82241
916,house,1342949
917,car,75322
918,car,49978
919,house,1066774
920,car,80030
921,car,80865
922,house,1313638
923,car,46274
924,car,36446
925,car,51008
926,car,45048
927,car,24900
928,car,23986
929,house,664072
930,car,70500
931,car,66228
932,car,63045
933,car,70592
934,car,76899
935,house,574286
936,house,1078471
937,car,98220
938,car,72556
939,car,54519
940,car,92533
941,house,954426
942,house,822114
943,house,1064332
944,car,54152
945,house,913425
946,car,95179
947,car,93824
948,car,60252
949,car,40943
950,car,13684
951,car,86892
952,car,77442
953,house,1328940
954,car,58138
955,car,64817
956,car,48206
957,car,82915
958,car,63735
959,car,24112
960,house,395595
961,car,42787
962,car,74147
963,car,62632
964,car,50905
965,house,1267934
966,car,18493
967,car,54083
968,car,94514
969,car,64048
970,car,76066
971,house,454814
972,car,59586
973,car,63376
974,house,1149980
975,house,1016136
976,car,21000
977,house,777244
978,car,25851
979,car,91017
980,house,1130056
981,car,43744
982,car,85312
983,car,12565
984,car,77452
985,car,51721
986,house,604980
987,car,49062
988,car,54471
989,car,79785
990,car,32805
991,car,56989
992,car,44858
993,car,72654
994,car,42987
995,car,25783
996,car,81666
997,car,55175
998,car,38852
999,car,58524
1000,car,42600
1001,car,74751
1002,car,69575
1003,car,59380
1004,car,68853
1005,house,477215
1006,car,15249
1007,house,786114
1008,car,23488
1009,house,205913
1010,car,63253
1011,car,51390
1012,car,68367
1013,car,72377
1014,house,159216
1015,car,92908
1016,car,61737
1017,car,97849
1018,car,10862
1019,car,46480
1020,house,1039623
1021,car,49454
1022,car,44840
1023,car,77241
1024,car,95216
1025,house,675907
1026,car,10972
1027,car,19968
1028,car,62818
1029,car,95074
1030,car,34344
1031,car,59256
1032,car,13171
1033,car,78493
1034,car,76835
1035,car,38945
1036,car,98318
1037,car,62117
1038,car,64617
1039,car,51169
1040,car,98060
1041,car,13948
1042,house,270978
1043,car,83162
1044,car,94753
1045,car,57679
1046,car,90790
1047,car,16880
1048,car,25005
1049,car,29088
1050,car,34845
1051,car,10497
1052,house,218867
1053,car,80508
1054,car,55240
1055,car,25797
1056,car,72204
1057,house,832289
1058,car,31915
1059,car,68424
1060,car,53067
1061,car,43664
1062,car,82818
1063,car,34054
1064,house,247380
1065,car,30618
1066,car,25250
1067,car,42590
1068,car,73842
1069,car,68943
1070,car,33422
1071,car,98377
1072,car,79666
1073,house,1142951
1074,car,36991
1075,car,98988
1076,house,452173
1077,car,55210
1078,house,788092
1079,car,12844
1080,car,96111
1081,car,55389
1082,car,45082
1083,car,79161
1084,house,1115320
1085,car,76433
1086,house,1315077
1087,car,59560
1088,car,77863
1089,car,24119
1090,car,12607
1091,car,28657
1092,car,45385
1093,house,1101137
1094,car,45429
1095,car,33124
1096,car,66274
1097,car,59298
1098,car,78300
1099,car,94714
1100,car,85023
1101,house,527774
1102,car,49450
1103,car,17077
1104,car,17545
1105,car,11878
1106,car,26150
1107,car,50896
1108,car,59964
1109,car,53684
1110,car,23318
1111,car,80814
1112,car,73738
1113,car,67941
1114,car,40108
1115,car,15966
1116,house,193042
1117,car,11225
1118,house,1270900
1119,car,46001
1120,car,98296
1121,car,94568
1122,car,73435
1123,car,51029
1124,car,69090
1125,car,29503
1126,house,572068
1127,car,10681
1128,car,28035
1129,car,25025
1130,car,84028
1131,car,55042
1132,car,88573
1133,car,12902
1134,car,63510
1135,car,44144
1136,car,12011
1137,car,71026
1138,car,55569
1139,house,1147562
1140,car,92761
1141,house,368052
1142,car,96617
1143,car,49847
1144,car,56678
1145,car,47868
1146,car,25446
1147,car,46241
1148,car,89970
1149,car,84552
1150,car,78669
1151,car,84107
1152,car,74916
1153,car,44821
1154,car,36149
1155,car,90379
1156,house,1046577
1157,car,52603
1158,car,98440
1159,car,71263
1160,car,35223
1161,car,26945
1162,car,58533
1163,car,21390
1164,car,22385
1165,car,46769
1166,car,65803
1167,car,96507
1168,car,39159
1169,car,42582
1170,car,21700
1171,car,47214
1172,car,95179
1173,house,1478743
1174,car,14714
1175,car,31727
1176,house,380691
1177,car,32914
1178,car,19138
1179,car,14629
1180,car,84685
1181,car,40206
1182,house,1061226
1183,car,56515
1184,car,80620
1185,house,1204538
1186,car,34945
1187,car,62655
1188,car,73668
1189,car,35082
1190,car,74992
1191,car,30268
1192,car,78986
1193,car,27727
1194,car,89734
1195,car,71484
1196,car,22012
1197,car,99634
1198,car,59243
1199,car,34983
1200,car,15490
1201,car,48008
1202,car,42206
1203,car,93744
1204,car,32931
1205,car,29344
1206,car,29997
1207,car,94063
1208,car,21525
1209,car,22695
1210,car,11439
1211,car,85117
1212,car,20301
1213,car,97405
1214,car,39648
1215,house,637133
1216,car,18527
1217,car,23553
1218,car,67892
1219,car,55101
1220,car,44123
1221,house,1340484
1222,car,98540
1223,car,49954
1224,car,30058
1225,house,805536
1226,car,92686
1227,car,85968
1228,car,65094
1229,car,19492
1230,house,1209768
1231,car,90828
1232,car,97673
1233,car,89162
1234,car,89553
1235,car,79735
1236,car,75682
1237,car,69629
1238,car,44621
1239,car,27988
1240,car,54838
1241,car,84219
1242,car,51743
1243,car,37047
1244,car,64595
1245,car,52665
1246,car,45892
1247,car,88741
1248,car,69693
1249,car,27209
1250,car,73651
1251,car,95646
1252,car,49371
1253,car,35711
1254,car,18114
1255,house,1132146
1256,car,52017
1257,car,43340
1258,car,34387
1259,car,19157
1260,car,13082
1261,house,358288
1262,car,84310
1263,car,35065
1264,car,30250
1265,car,33835
1266,car,79387
1267,house,132905
1268,car,35555
1269,car,46778
1270,house,1165048
1271,car,10952
1272,car,88154
1273,car,19972
1274,house,507721
1275,car,39248
1276,house,1484641
1277,car,22715
1278,car,34579
1279,car,26518
1280,car,66151
1281,car,55016
1282,car,88390
1283,car,26974
1284,car,86707
1285,car,13391
1286,car,40112
1287,car,97739
1288,car,89881
1289,car,54627
1290,car,56448
1291,house,484765
1292,car,44862
1293,house,289086
1294,car,58143
1295,car,53813
1296,car,94856
1297,car,35132
1298,car,83644
1299,car,50845
1300,car,14293
1301,car,79943
1302,car,42912
1303,house,786936
1304,car,73202
1305,car,23760
1306,car,99268
1307,car,87467
1308,car,85907
1309,car,83913
1310,car,70609
1311,car,25491
1312,car,29422
1313,car,11858
1314,car,98260
1315,house,1192064
1316,house,272087
1317,car,87211
1318,house,747741
1319,car,72319
1320,car,42436
1321,car,65576
1322,car,29829
1323,car,47088
1324,car,83475
1325,car,94920
1326,car,78986
1327,car,30761
1328,car,65919
1329,car,31151
1330,car,66216
1331,car,42002
1332,car,86041
1333,car,29800
1334,car,53764
1335,car,66126
1336,car,11927
1337,house,825962
1338,car,42577
1339,car,95120
1340,house,463153
1341,car,59169
1342,car,31350
1343,car,27019
1344,car,13378
1345,car,41273
1346,car,35916
1347,car,61490
1348,car,78359
1349,car,99797
1350,car,73964
1351,car,48817
1352,car,10881
1353,car,75060
1354,car,76521
1355,car,19046
1356,car,51717
1357,car,85443
1358,car,86224
1359,car,17210
1360,car,88245
1361,car,82005
1362,car,78478
1363,car,38449
1364,car,69199
1365,car,18295
1366,house,208498
1367,car,92715
1368,car,55227
1369,car,16367
1370,car,98344
1371,car,56550
1372,car,74437
1373,car,19590
1374,car,75382
1375,car,89483
1376,car,45198
1377,house,620896
1378,house,858895
1379,car,64889
1380,car,67974
1381,car,75562
1382,car,22732
1383,house,1239068
1384,car,16511
1385,car,16356
1386,car,47354
1387,car,70875
1388,car,99153
1389,car,64143
1390,car,35436
1391,car,66839
1392,car,39900
1393,car,71124
1394,car,73493
1395,car,61199
1396,car,14297
1397,car,35057
1398,car,54425
1399,car,90675
1400,car,14136
1401,car,89059
1402,car,28372
1403,house,197811
1404,car,90643
1405,car,93326
1406,car,65952
1407,house,930221
1408,car,73428
1409,car,30320
1410,car,49658
1411,car,98456
1412,car,31254
1413,car,95270
1414,car,85247
1415,car,15363
1416,car,84997
1417,car,91826
1418,house,965494
1419,car,21682
1420,house,866132
1421,car,57997
1422,house,1269244
1423,car,12982
1424,car,35248
1425,car,31749
1426,car,79817
1427,car,34373
1428,car,42918
1429,house,183977
1430,car,95094
1431,car,77102
1432,house,1450418
1433,car,32813
1434,house,868665
1435,car,86123
1436,car,56135
1437,car,76170
1438,car,84047
1439,car,78689
1440,house,1144893
1441,car,87033
1442,car,89648
1443,car,92347
1444,car,56340
1445,car,66215
1446,car,65632
1447,house,1004980
1448,car,35012
1449,car,21449
1450,car,92811
1451,car,45840
1452,car,59783
1453,car,52637
1454,car,26687
1455,house,805428
1456,car,81726
1457,car,12645
1458,car,63394
1459,car,61165
1460,car,77886
1461,car,96833
1462,car,14155
1463,car,44008
1464,car,58053
1465,car,69700
1466,house,1279302
1467,car,92247
1468,car,19611
1469,car,66578
1470,car,85675
1471,car,89876
1472,car,90365
1473,car,56997
1474,car,15142
1475,car,86950
1476,car,44028
1477,car,65015
1478,car,69059
1479,car,52317
1480,car,83956
1481,car,80930
1482,car,80310
1483,car,89251
1484,house,1244642
1485,car,64155
1486,car,51387
1487,car,47934
1488,house,444206
1489,car,95894
1490,car,46471
1491,car,83867
1492,car,12343
1493,car,67673
1494,car,27671
1495,car,49377
1496,car,55168
1497,car,33711
1498,house,1224706
1499,car,67381
1500,car,99683
1501,car,21749
1502,car,66522
1503,car,97339
1504,car,92012
1505,car,70493
1506,car,43404
1507,car,29542
1508,car,83333
1509,car,73661
1510,car,23678
1511,car,93828
1512,car,41129
1513,car,91672
1514,house,241489
1515,car,86565
1516,car,41722
1517,car,38610
1518,car,16049
1519,car,56826
1520,house,1442475
1521,car,51314
1522,car,52321
1523,car,54515
1524,car,28361
1525,car,19246
1526,car,75940
1527,car,20067
1528,car,16759
1529,house,1157492
1530,car,14547
1531,car,62827
1532,car,81660
1533,car,78938
1534,car,55156
1535,car,31440
1536,house,1380667
1537,car,98755
1538,car,34286
1539,car,91852
1540,car,36495
1541,car,25454
1542,car,98621
1543,car,44950
1544,car,73648
1545,car,10695
1546,car,51345
1547,car,35310
1548,car,81355
1549,car,98620
1550,house,394047
1551,house,460315
1552,car,58790
1553,car,83541
1554,car,15307
1555,car,33015
1556,car,84711
1557,car,40461
1558,car,27418
1559,house,871758
1560,car,20393
1561,car,88681
1562,car,18302
1563,house,542662
1564,car,87845
1565,car,49146
1566,car,19117
1567,house,477346
1568,car,28192
1569,car,92501
1570,car,21940
1571,car,31338
1572,car,62287
1573,house,996789
1574,house,554005
1575,car,26170
1576,car,89668
1577,car,60742
1578,car,88043
1579,car,50643
1580,house,151043
1581,car,38460
1582,car,70015
1583,car,82225
1584,car,24543
1585,car,24892
1586,car,91653
1587,car,63674
1588,house,1451913
1589,car,91810
1590,car,32631
1591,car,59711
1592,car,72929
1593,car,70226
1594,car,81461
1595,car,40207
1596,car,59382
1597,car,43792
1598,car,63638
1599,car,62868
1600,house,1408508
1601,car,20877
1602,car,47152
1603,house,598763
1604,car,56438
1605,car,38324
1606,car,42183
1607,car,89632
1608,car,68233
1609,house,392587
1610,car,80497
1611,house,172083
1612,car,17009
1613,car,11193
1614,car,22542
1615,car,24208
1616,car,84408
1617,car,92446
1618,car,14210
1619,car,95667
1620,car,50374
1621,car,74692
1622,house,115060
1623,car,72822
1624,car,15758
1625,car,54442
1626,car,99082
1627,house,885594
1628,car,91786
1629,car,14481
1630,car,56525
1631,car,98447
1632,car,82732
1633,car,94396
1634,car,93829
1635,car,99781
1636,car,33588
1637,car,55598
1638,car,96693
1639,car,30404
1640,car,56094
1641,car,29924
1642,car,81890
1643,car,33330
1644,car,35579
1645,car,29308
1646,house,313756
1647,car,15615
1648,car,17354
1649,car,20393
1650,car,89013
1651,house,647042
1652,car,22549
1653,car,35501
1654,car,72868
1655,car,80423
1656,car,76352
1657,car,91466
1658,car,58056
1659,car,72168
1660,car,90990
1661,house,345738
1662,car,63845
1663,car,49524
1664,car,98027
1665,house,1428430
1666,car,72665
1667,car,22567
1668,car,60664
1669,car,74329
1670,car,86545
1671,house,1092214
1672,car,41331
1673,car,17805
1674,car,27244
1675,car,35769
1676,car,59426
1677,car,20888
1678,car,53996
1679,car,23258
1680,car,47593
1681,house,1313892
1682,house,232252
1683,car,21150
1684,car,41866
1685,car,43139
1686,car,75328
1687,car,83912
1688,house,764030
1689,house,509668
1690,car,43016
1691,car,91780
1692,car,65962
1693,car,23668
1694,car,23902
1695,car,52644
1696,car,72527
1697,car,43239
1698,house,1015819
1699,car,97510
1700,car,22288
1701,house,1475255
1702,car,83806
1703,car,93767
1704,car,17701
1705,car,58617
1706,car,28179
1707,car,51451
1708,car,32250
1709,car,86131
1710,car,70204
1711,car,79782
1712,car,72744
1713,house,207004
1714,car,55171
1715,car,22586
1716,car,90257
1717,house,757931
1718,car,55989
1719,car,72409
1720,car,43087
1721,car,39478
1722,car,77594
1723,house,833223
1724,car,66783
1725,car,51778
1726,car,26634
1727,car,44878
1728,house,908323
1729,car,14954
1730,house,675703
1731,car,22394
1732,house,1119534
1733,car,75531
1734,car,40928
1735,car,32395
1736,car,87814
1737,car,25050
1738,car,67937
1739,car,86770
1740,car,89446
1741,car,47138
1742,car,71204
1743,car,80295
1744,car,11721
1745,car,21999
1746,car,59905
1747,house,800936
1748,car,46968
1749,house,1194880
1750,car,50501
1751,car,49662
1752,car,34763
1753,car,74061
1754,car,76597
1755,house,1217635
1756,car,94985
1757,car,92435
1758,car,48091
1759,house,965630
1760,car,31593
1761,car,67811
1762,car,65426
1763,car,75308
1764,car,18961
1765,house,888263
1766,car,48958
1767,car,40608
1768,car,92366
1769,house,1218432
1770,house,1055249
1771,car,43675
1772,car,59481
1773,house,465878
1774,car,25397
1775,car,42213
1776,car,74486
1777,house,678713
1778,car,23538
1779,car,61979
1780,car,37029
1781,car,31786
1782,house,1122966
1783,car,10548
1784,house,476644
1785,car,42159
1786,car,60990
1787,car,65447
1788,car,13244
1789,car,71393
1790,car,96562
1791,car,37225
1792,car,90471
1793,car,81144
1794,car,31918
1795,car,17784
1796,car,56665
1797,car,26919
1798,car,15008
1799,car,90941
1800,car,94394
1801,car,91040
1802,house,1196123
1803,house,856754
1804,car,42815
1805,car,51659
1806,car,29317
1807,car,97073
1808,car,63521
1809,car,70411
1810,car,39061
1811,car,58130
1812,car,80636
1813,car,97088
1814,car,48734
1815,house,774540
1816,car,63939
1817,car,33470
1818,car,16857
1819,car,77517
1820,car,92827
1821,car,12117
1822,car,69890
1823,car,41415
1824,car,50818
1825,car,40794
1826,house,1417232
1827,car,78882
1828,car,54404
1829,car,39531
1830,car,62813
1831,car,37511
1832,car,65778
1833,car,79219
1834,car,39127
1835,car,12559
1836,car,73941
1837,car,92198
1838,car,63426
1839,car,37482
1840,car,58581
1841,car,23047
1842,car,11627
1843,car,87075
1844,car,91433
1845,car,23749
1846,house,1327313
1847,car,38390
1848,car,25822
1849,car,95583
1850,car,55648
1851,car,52919
1852,car,18590
1853,car,78937
1854,house,1126042
1855,car,60048
1856,car,56346
1857,car,93217
1858,car,37075
