loan_id,user_id,reason,loan_amount,balance_paid,date_created
41,153,Seasonal Expenses,193495,148890,2022-05-02
41,153,Holiday Shopping,61485,55519,2022-06-22
42,157,Charitable Contributions,134997,19555,2020-06-27
43,161,Home Renovation,177681,24604,2014-02-26
43,161,Other,113932,77648,2017-10-04
43,161,Other,119225,70537,2017-04-29
44,166,Large Purchases,65554,51260,2014-06-07
45,170,Funeral Costs,28310,18121,2021-02-15
45,170,Legal Settlements,109268,14402,2020-07-07
45,170,Debt Consolidation,100789,71623,2017-10-15
46,173,Technology Purchase,70268,68211,2018-09-09
46,173,Funeral Costs,27564,4136,2019-10-21
47,179,Wedding Costs,185694,25602,2016-07-19
48,182,Lifestyle Changes,128963,97427,2011-08-23
48,182,Appliance Purchase,134977,57499,2018-03-15
49,187,Legal Settlements,159168,96114,2014-04-02
49,187,Legal Fees,90438,80437,2021-03-20
50,189,Education Expenses,197001,145064,2011-06-25
51,192,Seasonal Expenses,86574,23174,2014-02-01
51,192,Moving Expenses,111624,67917,2010-12-21
51,192,Business Expansion,142946,117175,2023-09-06
52,194,Credit Score Improvement,21184,19021,2021-01-28
53,195,Adoption Costs,145203,86937,2014-03-13
54,198,Technology Purchase,84852,1120,2024-04-08
54,198,Business Expansion,177665,99962,2012-09-13
54,198,Technology Purchase,82080,78224,2024-06-28
55,200,Wedding Costs,12446,799,2022-02-25
55,200,Insurance Premiums,121516,49474,2014-04-21
56,204,Special Occasions,196333,165446,2024-03-04
56,204,Insurance Premiums,12265,8693,2012-03-19
56,204,Home Purchase,196049,70444,2020-11-30
57,213,Charitable Contributions,130710,30418,2012-03-18
57,213,Large Purchases,60304,53658,2017-03-18
57,213,Vehicle Purchase,116494,47259,2022-07-05
58,229,Emergency Expenses,14853,6821,2020-09-23
58,229,Funeral Costs,108251,61131,2017-11-12
59,230,Legal Settlements,62026,27677,2012-04-01
60,231,Holiday Shopping,199826,190233,2016-07-28
60,231,Other,194145,66769,2017-10-22
60,231,Conservation Projects,101010,92843,2020-12-23
61,232,Adoption Costs,62586,12623,2012-10-25
61,232,Legal Fees,88493,14964,2018-06-15
61,232,Wedding Costs,116071,68907,2011-04-12
62,233,Home Renovation,92313,38122,2012-12-18
63,237,Technology Purchase,141882,36927,2013-03-16
63,237,Home Purchase,133775,45354,2018-10-27
63,237,Technology Purchase,67330,59982,2021-12-10
64,240,Education Expenses,26103,399,2014-06-19
64,240,Moving Expenses,58925,24395,2015-12-31
64,240,Travel and Vacation,194596,127686,2023-05-26
65,241,Conservation Projects,99874,87197,2019-08-30
65,241,Investment Opportunities,154581,104236,2017-09-15
65,241,Legal Fees,109755,81626,2023-11-22
66,247,Travel and Vacation,54286,36028,2020-10-07
66,247,Charitable Contributions,198660,145766,2019-10-25
66,247,Legal Fees,63367,11699,2018-04-07
67,249,Travel and Vacation,11883,9662,2014-05-07
67,249,Charitable Contributions,137373,9160,2016-11-02
67,249,Other,192474,109196,2020-06-25
68,258,Home Purchase,154708,112001,2023-04-09
68,258,Adoption Costs,158921,82018,2010-12-20
68,258,Funeral Costs,78023,71193,2013-10-31
69,265,Travel and Vacation,45849,42864,2014-12-16
69,265,Seasonal Expenses,139711,53477,2016-07-31
70,277,Medical Expenses,125434,62504,2021-09-05
70,277,Funeral Costs,45741,2863,2012-12-18
70,277,Moving Expenses,179244,119510,2012-09-17
71,278,Business Expansion,1899,1144,2018-07-05
71,278,Adoption Costs,49795,32615,2022-11-27
72,279,Personal Projects,180265,100625,2022-02-28
72,279,Conservation Projects,43674,13784,2021-04-03
73,283,Insurance Premiums,50697,31480,2012-05-25
73,283,Funeral Costs,150177,58177,2014-01-22
73,283,Education Expenses,87822,71326,2014-11-05
74,299,Credit Score Improvement,175443,65196,2013-08-08
74,299,Large Purchases,190789,165444,2014-08-09
75,306,Legal Settlements,83129,15308,2024-05-01
75,306,Medical Expenses,104620,45118,2014-08-26
75,306,Emergency Expenses,148293,87217,2015-01-12
76,308,Renewable Energy Installations,96754,18164,2016-02-03
77,313,Medical Expenses,55075,19254,2012-07-27
77,313,Medical Expenses,65542,48671,2024-05-25
78,318,Appliance Purchase,136068,5054,2015-05-19
78,318,Lifestyle Changes,104979,35667,2010-12-08
78,318,Funeral Costs,103795,68939,2017-11-15
79,320,Legal Fees,196212,24155,2013-06-28
80,327,Home Renovation,132816,86752,2012-09-07
81,331,Charitable Contributions,122246,12530,2011-09-22
81,331,Debt Consolidation,31256,598,2022-09-09
81,331,Seasonal Expenses,15623,8438,2021-04-09
82,334,Insurance Premiums,68756,16178,2011-08-04
82,334,Conservation Projects,128915,79810,2019-01-03
83,340,Appliance Purchase,1698,213,2011-04-07
83,340,Technology Purchase,155724,68245,2020-10-15
84,341,Holiday Shopping,100612,40248,2015-03-05
84,341,Business Startup,37187,35638,2010-05-29
85,349,Credit Score Improvement,1547,385,2019-07-26
85,349,Moving Expenses,91545,75462,2018-10-16
85,349,Legal Settlements,97868,17002,2019-09-09
86,351,Seasonal Expenses,18614,7697,2011-12-30
86,351,Lifestyle Changes,38281,18623,2024-05-11
86,351,Insurance Premiums,147030,116779,2023-04-18
87,356,Travel and Vacation,133255,94757,2018-08-27
87,356,Large Purchases,121246,9707,2021-07-22
87,356,Business Startup,109115,54070,2013-05-09
88,357,Personal Projects,102479,50811,2023-07-04
89,361,Special Occasions,9162,7067,2015-04-17
89,361,Travel and Vacation,8267,6907,2023-02-12
90,362,Renewable Energy Installations,183083,171508,2011-07-21
90,362,Travel and Vacation,32564,28908,2023-10-12
90,362,Vehicle Purchase,79649,43320,2016-09-16
91,367,Large Purchases,6348,2569,2012-11-10
92,371,Insurance Premiums,163841,104474,2022-03-18
93,372,Home Renovation,197747,129404,2023-12-11
94,376,Home Renovation,9464,3801,2019-11-25
94,376,Special Occasions,119128,45638,2023-10-26
94,376,Vehicle Purchase,62183,11210,2016-04-25
95,381,Other,160904,84222,2014-02-19
95,381,Debt Consolidation,59086,3527,2014-03-22
95,381,Adoption Costs,12566,6693,2016-10-26
96,382,Insurance Premiums,177007,99469,2010-07-26
97,383,Emergency Expenses,139955,80839,2019-12-31
97,383,Medical Expenses,112343,6162,2015-01-09
97,383,Adoption Costs,93549,11046,2021-11-21
98,384,Education Expenses,120455,45573,2010-02-07
99,385,Wedding Costs,169774,112128,2019-07-23
99,385,Wedding Costs,16511,10933,2019-01-22
100,389,Charitable Contributions,110515,15437,2019-08-26
101,392,Other,137381,112058,2017-06-06
101,392,Other,51278,44366,2020-07-16
101,392,Legal Settlements,153416,65812,2014-01-25
102,398,Home Purchase,70229,21890,2016-09-01
103,401,Debt Consolidation,36573,15529,2023-06-03
103,401,Education Expenses,7501,3732,2017-11-25
104,404,Moving Expenses,106770,102989,2010-11-28
104,404,Technology Purchase,58651,33628,2018-09-26
105,414,Home Renovation,82381,49116,2018-03-01
105,414,Home Purchase,116676,25914,2021-05-30
105,414,Vehicle Purchase,20922,13865,2021-11-15
106,417,Special Occasions,151665,10794,2024-05-09
106,417,Home Purchase,166735,8656,2021-01-13
106,417,Seasonal Expenses,169073,114242,2011-08-08
107,424,Seasonal Expenses,112216,88954,2022-05-17
107,424,Large Purchases,82428,17219,2019-04-05
108,427,Technology Purchase,103852,71348,2020-09-03
109,432,Investment Opportunities,193333,37155,2024-03-18
109,432,Holiday Shopping,64073,22532,2014-03-05
109,432,Funeral Costs,179557,105079,2019-03-01
110,439,Credit Score Improvement,91293,47924,2022-11-02
111,441,Vehicle Purchase,87583,35152,2019-05-21
112,445,Moving Expenses,69847,66841,2014-09-22
112,445,Legal Settlements,106173,31586,2021-10-31
113,458,Charitable Contributions,74471,60154,2021-07-08
114,460,Holiday Shopping,187775,155657,2021-04-13
114,460,Personal Projects,61013,38102,2020-08-01
114,460,Business Expansion,86809,18866,2015-10-05
115,461,Charitable Contributions,196849,75038,2022-12-23
116,462,Appliance Purchase,83391,42472,2011-05-02
116,462,Legal Fees,98381,21675,2011-01-16
116,462,Vehicle Purchase,2822,1164,2015-01-24
117,465,Insurance Premiums,117598,100826,2017-12-12
117,465,Legal Fees,30743,4345,2013-09-19
117,465,Education Expenses,19630,3870,2020-07-21
118,466,Wedding Costs,101617,22477,2022-12-22
118,466,Adoption Costs,145764,43260,2021-12-24
118,466,Adoption Costs,96483,86025,2021-05-10
119,470,Legal Settlements,44323,3267,2010-06-09
120,480,Seasonal Expenses,62580,18011,2013-04-30
121,482,Conservation Projects,110401,65645,2020-06-11
121,482,Other,30557,29085,2010-07-22
121,482,Vehicle Purchase,153200,127594,2023-07-21
122,485,Renewable Energy Installations,172624,144840,2022-04-26
122,485,Seasonal Expenses,24397,1664,2013-03-25
123,489,Appliance Purchase,64812,45621,2020-02-20
124,492,Debt Consolidation,184897,115296,2012-10-23
124,492,Legal Settlements,157881,140042,2019-05-27
125,496,Appliance Purchase,107116,49819,2018-09-06
126,500,Wedding Costs,45656,15821,2016-09-22
126,500,Moving Expenses,54155,8077,2013-08-24
127,506,Large Purchases,2830,1519,2017-11-21
128,507,Medical Expenses,91121,90539,2018-04-11
128,507,Lifestyle Changes,48912,23557,2018-01-01
129,519,Medical Expenses,110261,96308,2016-01-28
130,522,Other,24850,10805,2015-11-23
131,524,Other,46651,34329,2012-02-16
131,524,Insurance Premiums,94936,31637,2024-05-30
132,530,Holiday Shopping,56589,54338,2023-09-13
132,530,Legal Settlements,92289,33782,2013-04-23
132,530,Legal Settlements,193881,146257,2023-10-08
133,531,Holiday Shopping,142642,2020,2016-06-16
134,541,Adoption Costs,46244,2521,2024-06-06
134,541,Charitable Contributions,164973,164745,2019-04-25
134,541,Investment Opportunities,59477,19472,2024-07-03
135,552,Conservation Projects,145649,1539,2013-03-18
135,552,Conservation Projects,127782,49810,2017-03-06
136,560,Charitable Contributions,54479,31324,2020-11-30
137,568,Emergency Expenses,78016,29570,2010-12-19
137,568,Large Purchases,70697,35880,2012-02-09
137,568,Adoption Costs,23972,6796,2016-06-27
138,576,Emergency Expenses,142341,94024,2020-05-20
138,576,Home Renovation,185974,14306,2013-07-06
139,577,Adoption Costs,138405,58165,2018-01-29
140,579,Debt Consolidation,16610,11796,2019-12-16
140,579,Education Expenses,180344,93046,2023-08-15
140,579,Technology Purchase,62360,48167,2017-08-09
141,580,Medical Expenses,176510,65223,2022-03-09
141,580,Moving Expenses,103407,71786,2017-11-17
141,580,Travel and Vacation,26327,16667,2012-10-23
142,586,Seasonal Expenses,49812,19404,2011-07-08
142,586,Investment Opportunities,130414,4048,2012-10-06
142,586,Vehicle Purchase,8689,6285,2013-07-02
143,595,Medical Expenses,114019,52509,2023-07-05
143,595,Other,32922,2308,2017-07-28
143,595,Emergency Expenses,194553,163120,2021-09-10
144,600,Appliance Purchase,65152,17606,2010-07-16
144,600,Investment Opportunities,132407,44804,2024-03-11
145,603,Personal Projects,76134,34604,2018-12-05
146,606,Travel and Vacation,130527,108976,2014-10-03
147,611,Credit Score Improvement,159880,64766,2011-09-16
148,612,Holiday Shopping,36763,32439,2014-07-29
149,618,Credit Score Improvement,79409,17198,2017-09-10
150,621,Home Renovation,147288,3630,2023-09-20
150,621,Charitable Contributions,168658,140120,2014-11-12
151,622,Medical Expenses,129551,885,2014-10-07
151,622,Wedding Costs,48550,19449,2019-12-20
151,622,Insurance Premiums,67186,17880,2015-10-24
152,623,Seasonal Expenses,79217,33382,2018-06-08
153,641,Technology Purchase,72859,62830,2023-01-12
153,641,Vehicle Purchase,2564,1663,2015-08-30
154,643,Conservation Projects,79095,8849,2023-11-14
155,645,Insurance Premiums,2797,1796,2018-04-24
155,645,Legal Settlements,138430,2110,2011-03-21
155,645,Insurance Premiums,16376,12202,2016-07-15
156,647,Personal Projects,69389,30345,2022-06-03
156,647,Home Purchase,64829,11451,2018-12-27
157,654,Medical Expenses,37621,3853,2012-12-29
157,654,Funeral Costs,136960,136380,2016-03-01
158,656,Conservation Projects,18889,14536,2010-03-09
158,656,Seasonal Expenses,196360,17911,2017-05-29
158,656,Moving Expenses,14987,3288,2013-06-10
159,659,Medical Expenses,191650,94445,2014-11-30
159,659,Large Purchases,188080,182562,2014-05-13
160,664,Renewable Energy Installations,31315,13426,2015-09-27
160,664,Seasonal Expenses,39436,21664,2013-10-18
160,664,Large Purchases,66867,1409,2015-01-05
161,668,Other,154723,132069,2022-01-06
161,668,Emergency Expenses,63635,25698,2023-05-29
162,669,Legal Fees,172358,111365,2022-06-21
162,669,Other,26596,21268,2016-04-20
163,670,Appliance Purchase,1499,725,2019-12-03
163,670,Personal Projects,168523,17576,2010-01-02
164,672,Lifestyle Changes,44609,33460,2018-11-04
164,672,Personal Projects,35837,13477,2023-06-30
165,673,Legal Fees,143816,62874,2024-02-12
165,673,Personal Projects,126140,96704,2010-12-19
165,673,Renewable Energy Installations,127912,34197,2022-04-22
166,684,Legal Fees,14089,13511,2016-11-11
167,686,Medical Expenses,199119,41830,2022-01-11
167,686,Business Expansion,177516,115282,2019-10-06
167,686,Travel and Vacation,103237,101245,2010-08-23
168,691,Home Purchase,191914,142508,2017-04-23
168,691,Charitable Contributions,194616,67401,2013-09-28
168,691,Other,115161,30980,2020-08-03
169,694,Renewable Energy Installations,120107,9402,2013-09-30
169,694,Medical Expenses,161774,117589,2015-06-01
170,695,Renewable Energy Installations,125577,39144,2019-04-21
171,697,Other,78961,36491,2016-09-21
171,697,Home Renovation,101195,26433,2010-06-23
172,699,Home Purchase,140300,124367,2017-01-24
172,699,Personal Projects,4069,2951,2012-04-16
172,699,Medical Expenses,163000,74828,2016-02-06
173,704,Travel and Vacation,52985,52782,2013-05-07
173,704,Seasonal Expenses,155070,34648,2010-11-20
174,715,Insurance Premiums,104955,22366,2013-04-29
175,716,Special Occasions,183909,112055,2012-03-28
175,716,Legal Fees,178990,167536,2024-05-04
176,719,Seasonal Expenses,114322,102995,2023-12-10
176,719,Adoption Costs,28320,17051,2024-06-23
177,720,Moving Expenses,168244,136020,2013-12-01
177,720,Education Expenses,81354,12969,2015-08-25
177,720,Education Expenses,199427,43406,2012-01-01
178,725,Personal Projects,136962,88224,2013-01-19
179,727,Funeral Costs,36688,32005,2018-11-14
179,727,Conservation Projects,27615,8951,2022-02-21
180,729,Medical Expenses,24254,9996,2023-07-16
180,729,Education Expenses,160118,136407,2014-09-30
180,729,Seasonal Expenses,55270,5834,2021-05-29
181,731,Conservation Projects,183089,147673,2020-11-19
182,737,Personal Projects,162055,48543,2015-08-09
182,737,Home Renovation,168262,64175,2023-08-05
182,737,Credit Score Improvement,49251,33731,2011-04-23
183,739,Legal Fees,171565,146389,2020-03-26
184,743,Education Expenses,171554,34612,2015-08-12
185,752,Vehicle Purchase,26292,2301,2016-02-27
186,753,Business Startup,37357,32214,2020-02-02
186,753,Business Expansion,90153,78480,2022-04-18
187,765,Holiday Shopping,148853,143599,2010-07-01
188,771,Business Startup,81789,42433,2015-01-21
188,771,Holiday Shopping,30500,16448,2011-04-20
188,771,Technology Purchase,41834,38495,2014-01-06
189,772,Legal Fees,190975,107225,2022-11-28
190,776,Charitable Contributions,149551,119451,2015-10-23
190,776,Home Purchase,103498,99803,2020-08-03
190,776,Education Expenses,38677,32484,2021-12-05
191,781,Debt Consolidation,77638,22878,2016-01-14
191,781,Technology Purchase,181124,47284,2016-02-17
191,781,Conservation Projects,9203,7727,2021-12-01
192,785,Charitable Contributions,60352,26765,2015-10-22
192,785,Seasonal Expenses,98333,19562,2015-09-19
192,785,Funeral Costs,81667,73692,2020-05-21
193,786,Education Expenses,38629,2852,2015-04-14
193,786,Moving Expenses,121892,40130,2022-02-22
194,787,Credit Score Improvement,156392,7785,2018-04-14
195,789,Insurance Premiums,71578,20300,2010-06-19
195,789,Wedding Costs,10983,8074,2011-05-26
195,789,Technology Purchase,142032,115223,2022-12-06
196,790,Legal Settlements,76300,26595,2012-11-20
196,790,Adoption Costs,161198,72393,2016-08-14
197,791,Investment Opportunities,122500,48472,2012-09-15
197,791,Travel and Vacation,15494,3444,2012-12-03
197,791,Conservation Projects,90105,87693,2021-08-25
198,793,Personal Projects,98483,69818,2015-01-20
199,796,Renewable Energy Installations,101962,36637,2019-02-19
199,796,Vehicle Purchase,3211,647,2014-11-03
200,802,Legal Fees,83824,80454,2013-10-25
200,802,Business Startup,88938,53463,2019-11-17
200,802,Personal Projects,43777,39743,2016-10-26
201,805,Home Renovation,73313,46160,2011-02-19
201,805,Charitable Contributions,105622,34326,2011-04-13
202,806,Technology Purchase,67257,36678,2017-07-07
202,806,Large Purchases,166334,149909,2016-11-06
202,806,Legal Fees,165788,39403,2015-10-03
203,808,Technology Purchase,195117,131516,2012-06-18
203,808,Charitable Contributions,131452,88997,2017-12-29
204,810,Holiday Shopping,47340,13853,2017-02-21
204,810,Funeral Costs,102448,75527,2016-09-27
205,815,Funeral Costs,118912,100643,2020-05-15
206,818,Appliance Purchase,99841,82551,2013-07-02
206,818,Investment Opportunities,75925,12891,2023-01-25
206,818,Legal Fees,28349,27201,2011-11-02
207,828,Debt Consolidation,134629,127253,2012-05-10
208,829,Insurance Premiums,138366,6432,2016-07-05
208,829,Credit Score Improvement,23471,14508,2019-10-04
208,829,Seasonal Expenses,78757,76674,2022-04-21
209,844,Moving Expenses,185119,102199,2015-02-10
209,844,Business Startup,95918,3011,2024-03-28
210,855,Moving Expenses,20489,12684,2014-01-13
211,856,Credit Score Improvement,192576,172913,2012-10-11
211,856,Renewable Energy Installations,74483,64202,2019-02-28
211,856,Renewable Energy Installations,184484,65613,2016-08-14
212,858,Education Expenses,127411,70119,2014-09-25
213,865,Investment Opportunities,140149,67903,2017-02-27
213,865,Personal Projects,37263,11647,2012-05-16
214,868,Legal Settlements,111957,21488,2018-08-27
215,873,Legal Fees,186021,100057,2022-07-28
215,873,Lifestyle Changes,124927,59743,2010-08-25
216,876,Legal Fees,115228,94643,2016-10-13
216,876,Home Renovation,27137,9324,2018-12-07
216,876,Seasonal Expenses,192621,176360,2014-07-17
217,881,Lifestyle Changes,40405,29832,2011-11-20
218,886,Debt Consolidation,103723,21295,2010-02-04
219,888,Holiday Shopping,103772,37793,2022-06-20
220,895,Technology Purchase,70073,53762,2018-10-06
220,895,Wedding Costs,198297,60049,2018-06-13
220,895,Technology Purchase,41174,29619,2015-10-30
221,903,Large Purchases,16898,14064,2019-07-28
221,903,Education Expenses,127613,4855,2015-05-22
222,905,Holiday Shopping,55713,14064,2022-07-16
222,905,Business Startup,141427,52281,2013-10-16
222,905,Appliance Purchase,88950,53564,2019-06-13
223,906,Emergency Expenses,98662,2624,2021-10-30
223,906,Technology Purchase,115236,31652,2018-12-11
223,906,Holiday Shopping,192325,42842,2023-10-25
224,910,Wedding Costs,23952,1730,2012-01-19
224,910,Business Startup,22088,4091,2010-06-21
224,910,Personal Projects,152930,22550,2024-05-18
225,912,Funeral Costs,179879,31681,2018-01-14
226,917,Charitable Contributions,54825,33039,2018-12-14
226,917,Adoption Costs,82178,63762,2010-03-26
226,917,Seasonal Expenses,151883,69242,2020-09-28
227,918,Legal Fees,76232,71169,2016-04-29
228,929,Adoption Costs,164431,51414,2011-11-18
228,929,Holiday Shopping,97019,54820,2013-06-12
229,930,Home Purchase,14876,14138,2016-08-18
230,931,Medical Expenses,21351,20664,2018-02-21
230,931,Lifestyle Changes,156572,55027,2022-11-26
231,935,Home Purchase,128197,38506,2020-11-20
232,946,Medical Expenses,16726,495,2012-01-28
233,950,Special Occasions,184745,11049,2016-01-11
233,950,Business Startup,153534,132827,2010-03-24
234,952,Education Expenses,160636,30796,2017-06-30
234,952,Travel and Vacation,84456,4680,2022-02-10
235,954,Adoption Costs,74638,74098,2018-03-05
236,959,Credit Score Improvement,191856,14358,2013-09-04
236,959,Credit Score Improvement,17576,12013,2021-07-18
236,959,Home Purchase,16739,14577,2016-07-06
237,961,Vehicle Purchase,130788,112071,2013-05-03
237,961,Travel and Vacation,179050,22739,2017-09-15
237,961,Charitable Contributions,26819,3523,2012-12-03
238,974,Education Expenses,181687,88650,2014-04-09
238,974,Education Expenses,59910,19839,2017-05-20
238,974,Education Expenses,38675,30617,2022-01-14
239,975,Charitable Contributions,126921,63633,2017-09-09
240,976,Appliance Purchase,171367,45244,2016-08-29
240,976,Personal Projects,42223,7816,2021-03-07
241,978,Insurance Premiums,12518,5250,2016-12-25
241,978,Investment Opportunities,3649,2511,2023-01-12
242,980,Investment Opportunities,198249,13257,2015-10-09
243,985,Large Purchases,75624,45005,2013-10-13
244,986,Insurance Premiums,99129,76699,2012-03-21
245,990,Holiday Shopping,34805,26815,2023-07-29
245,990,Personal Projects,65169,24121,2019-10-15
246,994,Emergency Expenses,197809,149288,2017-12-25
246,994,Charitable Contributions,28681,135,2016-05-04
247,1000,Moving Expenses,120290,77151,2023-02-05
247,1000,Business Expansion,93599,22608,2019-03-02
247,1000,Business Startup,46885,26977,2017-01-07
248,1003,Appliance Purchase,55932,31852,2012-10-05
249,1012,Education Expenses,52811,17390,2013-08-14
249,1012,Home Purchase,35817,10797,2018-04-13
249,1012,Special Occasions,68155,66706,2015-03-06
250,1013,Education Expenses,106496,101046,2015-11-06
251,1014,Seasonal Expenses,166968,57914,2015-10-29
251,1014,Legal Fees,85686,75563,2020-10-27
252,1017,Emergency Expenses,105987,49589,2012-01-05
252,1017,Renewable Energy Installations,27808,19521,2020-05-15
253,1020,Special Occasions,43502,16386,2011-11-13
254,1029,Large Purchases,105710,80745,2010-07-29
255,1030,Legal Fees,127507,90472,2013-08-21
255,1030,Appliance Purchase,132396,97121,2012-12-23
256,1032,Large Purchases,134918,21172,2022-05-25
257,1035,Medical Expenses,98238,51969,2016-02-27
257,1035,Home Renovation,29883,4278,2015-03-17
257,1035,Credit Score Improvement,187076,41478,2010-07-21
258,1036,Credit Score Improvement,137401,13309,2015-02-28
258,1036,Medical Expenses,162308,109025,2013-04-10
259,1038,Insurance Premiums,104951,37021,2013-02-15
260,1041,Lifestyle Changes,133518,12895,2023-08-07
261,1043,Investment Opportunities,127973,103515,2020-12-21
262,1047,Credit Score Improvement,109859,34173,2024-01-20
262,1047,Home Renovation,112827,29265,2011-02-01
263,1053,Home Renovation,66937,799,2011-03-13
263,1053,Business Expansion,90708,68755,2016-04-20
263,1053,Holiday Shopping,25890,22624,2021-03-12
264,1062,Home Purchase,53812,41755,2023-03-25
264,1062,Business Startup,43309,15326,2023-10-31
264,1062,Moving Expenses,94555,78662,2010-10-30
265,1063,Home Purchase,115190,111820,2015-02-07
265,1063,Conservation Projects,112716,69003,2023-02-09
265,1063,Seasonal Expenses,143912,65263,2011-10-25
266,1067,Personal Projects,78521,7370,2022-07-06
266,1067,Business Startup,68060,67221,2012-08-09
266,1067,Home Renovation,14251,391,2010-09-23
267,1069,Investment Opportunities,197729,172188,2010-11-26
267,1069,Debt Consolidation,42480,12425,2016-11-16
268,1074,Funeral Costs,119917,96205,2011-05-18
268,1074,Insurance Premiums,152340,44287,2020-11-13
269,1075,Funeral Costs,44117,1045,2017-03-02
269,1075,Education Expenses,173256,90594,2010-12-14
270,1079,Renewable Energy Installations,131992,12930,2020-12-13
270,1079,Technology Purchase,10384,7405,2016-07-06
270,1079,Emergency Expenses,119912,66234,2023-10-26
271,1081,Travel and Vacation,26785,5888,2024-04-30
272,1091,Emergency Expenses,146371,70381,2020-10-16
273,1094,Legal Fees,79720,59737,2017-10-17
273,1094,Seasonal Expenses,47511,10328,2013-06-22
273,1094,Moving Expenses,3070,1477,2021-12-19
274,1097,Special Occasions,199456,101861,2022-05-12
